slug,project_id,title,downloads,categories
fabulously-optimized,1KVo5zza,Fabulously Optimized,11328795,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
cobblemon-fabric,5FFgwNNP,Cobblemon Official Modpack [Fabric],6864329,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
cobbleverse,Jkb29YJU,COBBLEVERSE - Pokemon Adventure [Cobblemon],3523552,"['adventure', 'challenging', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
better-mc-fabric-bmc2,shFhR8Vx,Better MC [FABRIC] - BMC2,2011792,"['adventure', 'combat', 'fabric', 'kitchen-sink', 'lightweight', 'multiplayer', 'optimization']"
sodiumplus,ch7UHY2J,Sodium Plus,1846661,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']"
vanilla-perfected,1ocGzRHv,Vanilla Perfected,1601735,"['adventure', 'fabric', 'lightweight', 'optimization']"
optifabric-modpack,bHUKuhiA,OptiFabric,1293363,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
prominence-2-fabric,EGs3lC8D,Prominence™ II: Hasturian Era,1284006,"['adventure', 'combat', 'fabric', 'magic', 'multiplayer', 'quests', 'technology']"
slimes-adventure,8yKzGJOG,Slimes Adventure,1216732,"['adventure', 'challenging', 'combat', 'fabric', 'forge', 'magic', 'optimization']"
cobblemondelta,C9FChyZ3,Cobblemon Delta,1054838,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']"
aged,i4XHCd7Q,Aged,1021952,"['adventure', 'challenging', 'combat', 'fabric', 'multiplayer', 'optimization']"
rso,1Fv3GHYS,红石生电优化【Redstone Survival Optimization】,930748,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
remarkably,MNW3LUwK,Remarkably Optimized,917383,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
hoplite-for-lunar-client,oVn5uNcU,Hoplite for Lunar Client,885939,"['combat', 'fabric', 'multiplayer', 'optimization']"
fps,nJ2Rn3SV,FPS Modpack,815336,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
ardacraft,X2bWRWhV,ArdaCraft,705188,"['adventure', 'fabric', 'multiplayer', 'optimization']"
landscapes-reimagined-genesis,MdznSbKA,Landscapes Reimagined Genesis,691542,"['adventure', 'challenging', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']"
skyblock-enhanced-modern-edition,e0oMrxjp,SkyBlock Enhanced,669988,"['adventure', 'fabric', 'multiplayer', 'optimization']"
the-horrors-in-the-fog,uPkIzDYf,the horrors in the fog,620943,"['adventure', 'challenging', 'forge', 'optimization']"
cobblemon-neoforge,mHMxXbIu,Cobblemon Official Modpack [NeoForge],562538,"['adventure', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization']"
svc-for-lunar-client,Mo0nlQxI,SVC for Lunar Client,523688,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
fresh-smooth,ICQPO4fX,Fresh & Smooth,517657,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'neoforge', 'optimization']"
distant-horizons-iris-shaders,yiYYuulE,Distant Horizons & Iris Shaders,489198,"['fabric', 'neoforge', 'optimization', 'technology']"
plo,L9xxumt0,Haste,485882,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
legacy-minecraft,g9O0WaGR,Re-Console+,473565,"['fabric', 'forge', 'kitchen-sink', 'multiplayer', 'neoforge', 'optimization', 'quilt']"
optimized-fps,aOOJ2mte,Optimized fps,469461,"['forge', 'lightweight', 'neoforge', 'optimization']"
wynncraft-for-lunar-client,cqIwxyhH,Wynncraft for Lunar Client,450312,"['combat', 'fabric', 'multiplayer', 'optimization', 'quests']"
mcf,uvlobdYF,月亮工厂MCF 【Moon Create factory】,445704,"['adventure', 'fabric', 'multiplayer', 'optimization', 'technology']"
mcc-island-for-lunar-client,PITslCIA,MCC Island for Lunar Client,414492,"['combat', 'fabric', 'multiplayer', 'optimization']"
create_plus,t1tOiUHZ,Create+,413472,"['adventure', 'forge', 'lightweight', 'multiplayer', 'optimization', 'technology']"
optifine-for-fabric,BHtwz1lb,OptiFine for Fabric,409403,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
minimalcreate,Pwyu7to9,最小的机械动力,405027,"['forge', 'lightweight', 'multiplayer', 'optimization', 'technology']"
spunky-boost,8fxQRGcg,Spunky Boost,379770,"['combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
blockfront-mod-pack,tT6OXNXX,BlockFront,364952,"['challenging', 'combat', 'multiplayer', 'neoforge', 'quests', 'technology']"
additive,paoFU4Vl,Additive,348625,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']"
performium-was-taken,IDrxZk6D,Performium,338502,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
xplus-2.0-modpack-global,UCpApD3P,XPlus PerioTable Modpack (Fabric),328776,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
homestead,6HvKwSky,Homestead,327068,"['adventure', 'fabric', 'multiplayer', 'optimization', 'quests', 'technology']"
backroomsff,KHwMgdkE,Backrooms: Found Footage,313189,"['adventure', 'fabric', 'multiplayer', 'optimization']"
optimizationn,ddF4bxsz,Optimization,295103,"['fabric', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization']"
elysium-days,lz3ryGPQ,Elysium Days,293152,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']"
low-res-trailer-recreation,8xOSkvVU,Low Res Trailer Recreation,287773,"['fabric', 'optimization']"
spunky-optimized,22jj8tHD,Spunky Optimized,275729,"['combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
vulkan-optimized,u76hn1pF,Vulkan Optimized,272044,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
heropack-verse-fiskheroes-server,SzFfKsVP,Official HeroPack-Verse SuperHeroes Server,261286,"['adventure', 'challenging', 'combat', 'forge', 'lightweight', 'magic', 'multiplayer', 'optimization', 'quests', 'technology']"
adrenaline,BYN9yKrV,Adrenaline,253679,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']"
the-lost-era,p87Jiw2q,The Lost Era Modpack,249764,"['forge', 'kitchen-sink', 'lightweight', 'magic', 'multiplayer', 'quests', 'technology']"
reimagined-intro-archived,JV4lvByf,Reimagined Intro [MOVED TO NEW PROJECT],245234,"['fabric', 'lightweight', 'optimization', 'technology']"
cobblemon-opted,njITF4u1,Cobblemon Optimized (Pokemon Modpack),235672,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']"
better-mc-fabric-bmc3,NHUidpfR,Better MC [FABRIC] - BMC3,234350,"['adventure', 'challenging', 'combat', 'fabric', 'kitchen-sink', 'lightweight', 'multiplayer', 'optimization']"
create-live-5,VUmd23oG,Create Live 5,233029,"['challenging', 'forge', 'multiplayer', 'technology']"
versatile,SfTr5hl1,Versatile,223350,"['adventure', 'challenging', 'combat', 'fabric', 'kitchen-sink', 'magic', 'multiplayer', 'optimization', 'technology']"
horizons1,py9uozed,HORIZONS,204574,"['adventure', 'challenging', 'fabric', 'multiplayer', 'optimization']"
actandbetter,HA3JZt1u,Act. & Better,202642,"['adventure', 'combat', 'fabric', 'multiplayer', 'optimization']"
max-fps-optimized,mvhIfZLj,MAX FPS: Optimized,197409,"['fabric', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization', 'quilt']"
rtx-on,y7tVcQjg,RTX ON,197399,"['fabric', 'multiplayer', 'optimization', 'technology']"
jujutsu-kaisen-sorcery-fight,91tn21DV,Jujutsu Kaisen (Sorcery Fight),179776,"['adventure', 'challenging', 'combat', 'forge', 'optimization']"
cobblemongg,QnuhhrEb,Cobblemon.gg - Ultimate Pokemon Experience,170620,"['adventure', 'fabric', 'multiplayer', 'technology']"
superheroes,m2PsjPTL,SuperHeroes,170510,"['adventure', 'combat', 'forge', 'magic', 'technology']"
better-mc-neoforge-bmc5,B37WQ89b,Better MC [NEOFORGE] BMC5,164888,"['adventure', 'combat', 'multiplayer', 'neoforge', 'optimization', 'quests']"
cobblemon-island,XAuN8CD3,Cobblemon Islands,161635,"['adventure', 'challenging', 'combat', 'fabric', 'forge', 'lightweight', 'multiplayer', 'optimization', 'quests']"
thunder,ehPxCT2J,Thunder,160784,"['fabric', 'lightweight', 'optimization', 'quilt']"
fpsbooster,B3qfdQCh,FPS Booster,159201,"['fabric', 'lightweight', 'multiplayer', 'optimization']"
