slug,project_id,title,downloads,categories,game_versions,highest_game_version
fabulously-optimized,1KVo5zza,Fabulously Optimized,11774510,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.17.1', '1.18.1', '1.18.2', '1.19', '1.19.1', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.3', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
zombie-invade-100-days,l9m9tuPN,Zombie Invade 100 Days,8987405,"['challenging', 'combat', 'forge', 'multiplayer']","['1.19.2', '1.20.1']",1.20.1
cobblemon-fabric,5FFgwNNP,Cobblemon Official Modpack [Fabric],7108706,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.20.1', '1.21.1']",1.21.1
cobbleverse,Jkb29YJU,COBBLEVERSE - Pokemon Adventure [Cobblemon],3735494,"['adventure', 'challenging', 'fabric', 'lightweight', 'multiplayer', 'optimization']",['1.21.1'],1.21.1
better-mc-fabric-bmc2,shFhR8Vx,Better MC [FABRIC] - BMC2,2093884,"['adventure', 'combat', 'fabric', 'kitchen-sink', 'lightweight', 'multiplayer', 'optimization']",['1.20.1'],1.20.1
sodiumplus,ch7UHY2J,Sodium Plus,1901978,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']","['1.18.2', '1.19', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.21', '1.21.5', '1.21.8', '1.21.10', '1.21.11', '26.1.2']",26.1.2
the-pixelmon-modpack,vwgtbO0y,The Pixelmon Modpack,1758894,"['adventure', 'forge', 'neoforge', 'quests']","['1.16.5', '1.20.1', '1.20.2', '1.21.1']",1.21.1
vanilla-perfected,1ocGzRHv,Vanilla Perfected,1652269,"['adventure', 'fabric', 'lightweight', 'optimization']","['1.20.1', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.6', '1.21.8', '1.21.10', '1.21.11']",1.21.11
better-mc-forge-bmc4,4BV47HRn,Better MC [FORGE] - BMC4,1406680,"['adventure', 'combat', 'forge', 'kitchen-sink', 'lightweight', 'multiplayer']",['1.20.1'],1.20.1
prominence-2-fabric,EGs3lC8D,Prominence™ II: Hasturian Era,1327667,"['adventure', 'combat', 'fabric', 'magic', 'multiplayer', 'quests', 'technology']",['1.20.1'],1.20.1
optifabric-modpack,bHUKuhiA,OptiFabric,1325877,"['adventure', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.17', '1.17.1', '1.18', '1.18.1', '1.18.2', '1.19', '1.19.1', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.3', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
slimes-adventure,8yKzGJOG,Slimes Adventure,1264007,"['adventure', 'challenging', 'combat', 'fabric', 'forge', 'magic', 'optimization']","['1.16.5', '1.19.2', '1.21.1']",1.21.1
pokemon-elysium,fgUCZ5nU,Pokemon Elysium,1116055,"['adventure', 'combat', 'fabric', 'kitchen-sink', 'lightweight', 'multiplayer']","['1.19.2', '1.20.1']",1.20.1
cobblemondelta,C9FChyZ3,Cobblemon Delta,1084450,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']","['1.20.1', '1.21.1']",1.21.1
aged,i4XHCd7Q,Aged,1045097,"['adventure', 'challenging', 'combat', 'fabric', 'multiplayer', 'optimization']","['1.19.2', '1.20.1']",1.20.1
rso,1Fv3GHYS,红石生电优化【Redstone Survival Optimization】,962061,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
remarkably,MNW3LUwK,Remarkably Optimized,946943,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.17.1', '1.18.2', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26w14a', '26.1.2']",26.1.2
hoplite-for-lunar-client,oVn5uNcU,Hoplite for Lunar Client,900131,"['combat', 'fabric', 'multiplayer', 'optimization']","['1.20.1', '1.21', '1.21.8', '1.21.11']",1.21.11
cave-horror-project-modpack,KRCZSt8F,Cave Horror Project 1,894374,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer']",['1.20.1'],1.20.1
fps,nJ2Rn3SV,FPS Modpack,859494,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.19', '1.19.2', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1']",26.1
battlearmorytacz,rQiXwLhB,BattleArmory TACZ,837838,"['combat', 'forge', 'multiplayer', 'neoforge']",['1.20.1'],1.20.1
skyblocker-modpack,KmiWHzQ4,Skyblocker Modpack - Hypixel Skyblock,785160,"['fabric', 'lightweight', 'multiplayer']","['1.18.1', '1.18.2', '1.19.2', '1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.8', '1.21.10', '1.21.11']",1.21.11
realisticcraft,7zBMp9RO,RealisticCraft,778724,"['adventure', 'challenging', 'combat', 'fabric']","['1.19', '1.21.10', '1.21.11']",1.21.11
ardacraft,X2bWRWhV,ArdaCraft,739585,"['adventure', 'fabric', 'multiplayer', 'optimization']","['1.19.2', '1.20.1']",1.20.1
skyblock-enhanced-modern-edition,e0oMrxjp,SkyBlock Enhanced,715884,"['adventure', 'fabric', 'multiplayer', 'optimization']","['1.21.5', '1.21.8', '1.21.10', '1.21.11']",1.21.11
landscapes-reimagined-genesis,MdznSbKA,Landscapes Reimagined Genesis,711597,"['adventure', 'challenging', 'combat', 'fabric', 'lightweight', 'multiplayer', 'optimization', 'quests']","['1.19.2', '1.20.1']",1.20.1
the-horrors-in-the-fog,uPkIzDYf,the horrors in the fog,639162,"['adventure', 'challenging', 'forge', 'optimization']","['1.19.2', '1.20.1']",1.20.1
brasil-cobblemon-mobile,HghLSUi5,Cobblemon Brasil [Mobile],602129,"['adventure', 'fabric']",['1.21.1'],1.21.1
cobblemon-neoforge,mHMxXbIu,Cobblemon Official Modpack [NeoForge],571843,"['adventure', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization']","['1.20.1', '1.21.1']",1.21.1
fresh-smooth,ICQPO4fX,Fresh & Smooth,553140,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'neoforge', 'optimization']","['1.20.1', '1.21.1', '1.21.4', '1.21.5', '1.21.6', '1.21.8', '1.21.10', '1.21.11']",1.21.11
svc-for-lunar-client,Mo0nlQxI,SVC for Lunar Client,543046,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.21.4', '1.21.6', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1.2']",26.1.2
dwellers-modpack,5rDdTb9b,THE DWELLERS,530701,"['adventure', 'challenging', 'combat', 'forge', 'multiplayer', 'quests']","['1.19.2', '1.20.1']",1.20.1
jornadas-cobblemon,7ude6Ebx,Servidor Jornadas Cobblemon,515034,"['adventure', 'fabric', 'multiplayer', 'quests']","['1.20.1', '1.21.1']",1.21.1
distant-horizons-iris-shaders,yiYYuulE,Distant Horizons & Iris Shaders,513056,"['fabric', 'neoforge', 'optimization', 'technology']","['1.20.1', '1.20.4', '1.20.6', '1.21.1', '1.21.4', '1.21.5', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1.2']",26.1.2
plo,L9xxumt0,Haste,494588,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.18.2', '1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1']",1.21.1
create_plus,t1tOiUHZ,Create+,492224,"['adventure', 'forge', 'lightweight', 'multiplayer', 'neoforge', 'optimization', 'technology']","['1.19.2', '1.21.1']",1.21.1
optimized-fps,aOOJ2mte,Optimized fps,487480,"['forge', 'lightweight', 'neoforge', 'optimization']","['1.7.10', '1.8.9', '1.12.2', '1.16.5', '1.18.2', '1.19.2', '1.19.4', '1.20.1', '1.20.2', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
legacy-minecraft,g9O0WaGR,Re-Console+,482077,"['fabric', 'forge', 'kitchen-sink', 'multiplayer', 'neoforge', 'optimization', 'quilt']","['1.20.1', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.8', '1.21.10']",1.21.10
wynncraft-for-lunar-client,cqIwxyhH,Wynncraft for Lunar Client,458838,"['combat', 'fabric', 'multiplayer', 'optimization', 'quests']","['1.20.2', '1.21', '1.21.4', '1.21.11']",1.21.11
mcf,uvlobdYF,月亮工厂MCF 【Moon Create factory】,454404,"['adventure', 'fabric', 'multiplayer', 'optimization', 'technology']","['1.19.2', '1.20.1']",1.20.1
parasites-reloaded,ougHSXcz,Parasites: Reloaded,443779,"['adventure', 'challenging', 'combat', 'forge']",['1.12.2'],1.12.2
optifine-for-fabric,BHtwz1lb,OptiFine for Fabric,431841,"['adventure', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.16.5', '1.17.1', '1.18.2', '1.19', '1.19.1', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.3', '1.20.4', '1.20.5', '1.20.6', '1.21', '1.21.1', '1.21.2', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
mcc-island-for-lunar-client,PITslCIA,MCC Island for Lunar Client,419976,"['combat', 'fabric', 'multiplayer', 'optimization']","['1.20.4', '1.21', '1.21.1', '1.21.5', '1.21.8']",1.21.8
minimalcreate,Pwyu7to9,最小的机械动力,409224,"['forge', 'lightweight', 'multiplayer', 'optimization', 'technology']","['1.19.2', '1.20.1']",1.20.1
spunky-boost,8fxQRGcg,Spunky Boost,405137,"['combat', 'fabric', 'lightweight', 'multiplayer', 'optimization']","['1.18.2', '1.20.1', '1.20.4', '1.21', '1.21.1', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1', '26.1.2']",26.1.2
blockfront-mod-pack,tT6OXNXX,BlockFront,371042,"['challenging', 'combat', 'multiplayer', 'neoforge', 'quests', 'technology']","['1.20.4', '1.20.6', '1.21.1']",1.21.1
homestead,6HvKwSky,Homestead,358333,"['adventure', 'fabric', 'multiplayer', 'optimization', 'quests', 'technology']",['1.20.1'],1.20.1
additive,paoFU4Vl,Additive,353688,"['fabric', 'lightweight', 'multiplayer', 'optimization', 'quilt']","['1.16.5', '1.17.1', '1.18.2', '1.19', '1.19.1', '1.19.2', '1.19.3', '1.19.4', '1.20', '1.20.1', '1.20.2', '1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.7', '1.21.8', '1.21.10', '1.21.11', '26.1', '26.1.1']",26.1.1
performium-was-taken,IDrxZk6D,Performium,353260,"['fabric', 'lightweight', 'multiplayer', 'optimization']","['1.20.4', '1.20.6', '1.21', '1.21.1', '1.21.3', '1.21.4', '1.21.5', '1.21.6', '1.21.7', '1.21.8', '1.21.9', '1.21.10', '1.21.11', '26.1', '26.1.1']",26.1.1
